Country, Both sexes, Male, Female,Population,Deaths / 100k
Afghanistan,6523,2276,4247,34413603,18.95471393
Albania,168,88,81,2880703,5.83190978
Algeria,8113,3866,4247,39728025,20.42135243
Angola,2305,1326,980,27884381,8.266276379
Antigua and Barbuda,48,23,25,93566,51.30068615
Argentina,9502,4915,4587,43131966,22.03006466
Armenia,1115,432,683,2925553,38.11245259
Australia,4714,2493,2221,23815995,19.79342035
Austria,3568,1629,1938,8642699,41.28340001
Azerbaijan,1448,621,827,9649341,15.00620612
Bahamas,116,49,66,374206,30.99896848
Bahrain,404,223,181,1371851,29.44926235
Bangladesh,26951,11038,15913,156256276,17.24794721
Barbados,281,115,166,285324,98.48452987
Belarus,411,158,253,9489616,4.331049855
Belgium,1606,710,896,11274196,14.24491822
Belize,157,69,88,360933,43.49837782
Benin,1455,595,860,10575952,13.75762674
Bhutan,194,82,112,727876,26.65289143
Bolivia (Plurinational State of),2765,1216,1549,10869730,25.43761437
Bosnia and Herzegovina,2567,1045,1522,3429361,74.85359517
Botswana,948,382,566,2120716,44.7018837
Brazil,64841,29475,35366,204471769,31.7114682
Brunei Darussalam,138,72,67,414907,33.2604656
Bulgaria,1572,683,889,7177991,21.90027823
Burkina Faso,2022,1014,1008,18110624,11.16471746
Burundi,1194,731,463,10160030,11.7519338
Cabo Verde,132,39,93,524743,25.1551712
Cambodia,2106,799,1308,15521436,13.56833221
Cameroon,4428,1949,2479,23298368,19.00562305
Canada,6968,3751,3217,35702908,19.51661753
Central African Republic,654,376,278,4493170,14.55542523
Chad,1777,741,1036,14110975,12.59303485
Chile,4993,2372,2621,17969353,27.78619798
China,163396,66295,97101,1371220000,11.91610391
Colombia,9520,4428,5092,47520667,20.03338884
Comoros,129,73,56,777424,16.59326185
Congo,641,325,316,4856095,13.19990651
Costa Rica,881,406,475,4847804,18.17317697
C̫te d'Ivoire,5432,2333,3099,23226143,23.38743889
Croatia,1673,697,976,4203604,39.79918184
Cuba,2326,940,1385,11324781,20.53902853
Cyprus,528,263,265,1160985,45.47862375
Czechia,3775,1713,2062,10546059,35.79536204
Democratic People's Republic of Korea,3108,1425,1683,25183833,12.34125083
Democratic Republic of the Congo,7492,4754,2738,76244544,9.826276881
Denmark,1471,798,673,5683483,25.88201636
Djibouti,175,103,72,913993,19.14675495
Dominican Republic,2369,1103,1267,10281680,23.04098163
