Country, Both sexes, Male, Female,Population,Deathsper100k
Afghanistan,4852,1797,3056,29185507,16.62468978
Albania,141,74,68,2913021,4.840335858
Algeria,6754,3256,3498,35977455,18.77286762
Angola,1907,1089,818,23356246,8.164839504
Antigua and Barbuda,52,20,31,88028,59.07211342
Argentina,8884,4395,4489,40788453,21.78067405
Armenia,1229,460,769,2877319,42.71337311
Australia,3963,1997,1966,22031750,17.98767688
Austria,3091,1348,1743,8363404,36.9586355
Azerbaijan,1347,557,790,9054332,14.87685674
Bahamas,107,44,63,354942,30.14577029
Bahrain,362,204,158,1240860,29.17331528
Bangladesh,21933,9931,12002,147575430,14.86223012
Barbados,262,105,157,282131,92.86466216
Belarus,511,198,313,9490583,5.384284611
Belgium,1709,706,1003,10895586,15.68525089
Belize,152,65,87,322464,47.13704476
Benin,1187,487,700,9199259,12.90321318
Bhutan,136,59,77,685503,19.83944636
Bolivia (Plurinational State of),2453,1070,1384,10048590,24.41138508
Bosnia and Herzegovina,2522,1004,1518,3705472,68.06150472
Botswana,814,322,493,1987105,40.96411614
Brazil,62309,27542,34767,195713635,31.83682118
Brunei Darussalam,110,59,52,388646,28.30339178
Bulgaria,1799,798,1001,7395599,24.32527778
Burkina Faso,1700,856,844,15605217,10.89379276
Burundi,1010,599,411,8675602,11.64184341
Cabo Verde,127,37,90,492654,25.77874127
Cambodia,1728,677,1051,14312212,12.07360539
Cameroon,3692,1637,2056,20341241,18.15031836
Canada,7004,3731,3272,34004889,20.59703827
Central African Republic,680,395,285,4386768,15.50116168
Chad,1462,625,837,11952136,12.2321232
Chile,3855,1852,2003,17062536,22.59335892
China,133087,53521,79566,1337705000,9.948905028
Colombia,8920,3832,5087,45222700,19.72460733
Comoros,110,61,49,689692,15.94914832
Congo,589,295,294,4273731,13.78186882
Costa Rica,901,422,479,4577378,19.68375782
C̫te d'Ivoire,4453,1934,2520,20532950,21.68709318
Croatia,1437,636,801,4295427,33.45418279
Cuba,2696,1025,1671,11225832,24.0160373
Cyprus,475,226,250,1112612,42.6923312
Czechia,1974,875,1100,10474410,18.84593022
Democratic People's Republic of Korea,2853,1260,1593,24548836,11.62173229
Democratic Republic of the Congo,6099,3784,2315,64563854,9.446462102
Denmark,1352,760,592,5547683,24.37053451
Djibouti,133,77,56,840198,15.82960207
Dominican Republic,2024,919,1105,9695121,20.87648004
Ecuador,5268,2351,2916,15011117,35.09399067
Egypt,13742,6795,6948,82761235,16.60439214
El Salvador,1927,758,1169,6183875,31.16169069
Equatorial Guinea,244,155,89,943639,25.85734587
Eritrea,771,445,326,3170435,24.31842949
Estonia,155,70,85,1331475,11.64122496
Eswatini,593,228,366,1064837,55.68927451
