,,,"Number of deaths attributed to non-communicable diseases, by type of disease(diabetes, rest redacted(fuzzy)) and sex",,
Country, Both sexes, Male, Female,Population,Deaths / 100k
Romania,2705,1253,1453,2080745,130.0015139
Russian Federation,9812,3136,6676,19702332,49.80121135
Rwanda,1435,807,628,144342396,0.994163905
Saint Lucia,116,49,67,11668818,0.994102402
Saint Vincent and the Grenadines,96,46,50,180024,53.32622317
Samoa,82,45,38,109459,74.9138947
Sao Tome and Principe,13,7,6,194535,6.682602102
Saudi Arabia,3737,2150,1588,203227,1838.83047
Senegal,2167,890,1278,32442572,6.679495078
Serbia,3063,1379,1683,14993528,20.42881435
Seychelles,21,9,12,7058322,0.297521139
Sierra Leone,1433,494,938,94677,1513.567181
Singapore,400,173,227,7328838,5.457891142
Slovakia,944,430,514,5607283,16.83524802
Slovenia,340,160,180,5430798,6.260590064
Solomon Islands,206,96,110,2065042,9.975584032
Somalia,1887,1055,832,619437,304.6314637
South Africa,37228,16981,20247,14185613,262.434905
South Sudan,1634,888,746,56203654,2.907284284
Spain,10074,4358,5715,10832512,92.9978199
Sri Lanka,12399,5450,6949,46483569,26.6739415
Sudan,5774,2485,3289,21203000,27.23199547
Suriname,254,124,130,39847440,0.637431162
Sweden,2124,1155,968,564888,376.0037388
Switzerland,1381,676,705,9923085,13.91704294
Syrian Arab Republic,1322,549,774,8373338,15.78820776
Tajikistan,809,423,386,17453933,4.635058471
Thailand,23929,9619,14310,8663579,276.2022485
Republic of North Macedonia,927,382,545,68971331,1.344036698
Timor-Leste,104,40,64,1219288,8.529568076
Togo,992,433,559,7509952,13.20913902
Tonga,82,35,46,101133,81.08134832
Trinidad and Tobago,1860,894,966,1377564,135.02095
Tunisia,3523,1660,1863,11303946,31.16610784
Turkey,21788,9523,12265,79821724,27.29582739
Turkmenistan,691,307,384,5662372,12.20336636
Uganda,4564,2572,1992,39647506,11.51144286
Ukraine,2546,1013,1533,45004645,5.65719383
United Arab Emirates,707,522,185,9360980,7.552628037
United Kingdom of Great Britain and Northern Ireland,6553,3180,3374,65595565,9.99000466
United Republic of Tanzania,6444,3498,2946,53050790,12.14685022
United States of America,84332,46499,37833,323071342,26.10321283
Uruguay,934,447,487,3424132,27.27698582
Uzbekistan,5714,2783,2931,31847900,17.94152833
Vanuatu,79,38,40,278330,28.38357346
Venezuela (Bolivarian Republic of),14933,7678,7255,29846179,50.03320526
Viet Nam,20754,7322,13432,93638724,22.16390732
Yemen,3854,1585,2269,27168210,14.18569718
Zambia,1475,829,646,16363507,9.013960149
Zimbabwe,3590,1490,2100,14030390,25.58731439
