Country,Both, Male, Female
Afghanistan,10.8,10.5,11.1
Albania,7.1,7.2,6.9
Algeria,11.4,11.2,11.6
Andorra,7,8.1,6
Angola,7.3,7.6,7.1
Antigua and Barbuda,10.2,8.7,11.6
Argentina,9.1,9.4,8.8
Armenia,10.6,10,11.1
Australia,5.9,6.8,5
Austria,4.3,5.4,3.3
Azerbaijan,11,10.2,11.6
Bahamas,11.9,10.7,12.9
Bahrain,11.1,11.6,10.4
Bangladesh,9,9.5,8.5
Barbados,11.2,9.7,12.7
Belarus,7.5,7.5,7.4
Belgium,4.6,5.6,3.7
Belize,11.7,9.3,14
Benin,6.7,7,6.4
Bhutan,11.2,11.3,10.9
Bolivia (Plurinational State of),7.4,6.4,8.3
Bosnia and Herzegovina,7.3,7.7,6.8
Botswana,7.9,6.8,8.8
Brazil,7.8,7.5,8.1
Brunei Darussalam,9.5,9.2,9.9
Bulgaria,7.2,7.8,6.6
Burkina Faso,5.8,6.7,5
Burundi,3.7,3.7,3.6
Cabo Verde,8.1,8.7,7.6
Cambodia,6.6,6.7,6.5
Cameroon,6.2,6.2,6.2
Canada,5.5,6.2,4.8
Central African Republic,6.9,7.1,6.7
Chad,6.3,7.2,5.5
Chile,9.9,9.5,10.1
China,8,8.8,7.3
Colombia,8.1,7.8,8.4
Comoros,7.2,7.2,7.2
Congo,7,7,7
Cook Islands,26.6,27.4,25.7
Costa Rica,8.4,8.4,8.4
C̫te d'Ivoire,6.4,6.8,5.9
Croatia,6.8,7.6,6
Cuba,8,6.9,9
Cyprus,6.8,8,5.6
Czechia,7.3,8.1,6.5
Democratic People's Republic of Korea,5.6,5.4,5.8
Democratic Republic of the Congo,5.5,5.5,5.4
Denmark,4.4,5.4,3.4
Djibouti,8.1,8.6,7.5
Dominica,10.3,7.9,12.5
Dominican Republic,9.4,8.2,10.6
Ecuador,7.3,6.8,7.8
Egypt,16,14.2,17.6
El Salvador,9.6,8.9,10
Equatorial Guinea,8.4,8.5,8.3
Eritrea,5,5.4,4.6
Estonia,6.9,7.4,6.4
Eswatini,8.9,7.1,10.4
Ethiopia,4.9,5.3,4.6
Fiji,15.9,14.5,17.4
Finland,5.4,6.5,4.4
France,5.8,7.3,4.4
Gabon,9.3,9.4,9.2
Gambia,7.8,8.4,7.2
Georgia,11,11.4,10.6
Germany,4.9,5.9,3.9
Ghana,6.1,6.1,6.1
Greece,6.5,7,6
Grenada,10,8,11.9
Guatemala,9.1,8.4,9.6
Guinea,5.8,6.1,5.5
Guinea-Bissau,6.6,6.8,6.3
Guyana,9.7,8.1,11.2
Haiti,7.8,7.8,7.8
Honduras,8.4,7.8,9
Hungary,7.4,8.4,6.4
Iceland,6,7.7,4.3
India,8.4,8.7,8.1
Indonesia,7.4,7,7.7
Iran (Islamic Republic of),10.8,10.2,11.5
Iraq,15.5,15.2,15.7
Ireland,6.1,7.1,5
Israel,6.3,6.9,5.8
Italy,5.7,6.7,4.6
Jamaica,10.7,8.3,12.9
Japan,6.7,8.2,5.3
Jordan,15.7,15.1,16.2
Kazakhstan,10.9,11.3,10.6
Kenya,5.5,5.3,5.6
Kiribati,21,21,21
Kuwait,18.3,18.4,18.3
Kyrgyzstan,9.2,8.8,9.5
Lao People's Democratic Republic,7.2,7.1,7.2
Latvia,6.8,7.3,6.5
Lebanon,11.7,12.5,10.8
Lesotho,8.1,6.5,9.2
Liberia,6.9,7.2,6.7
Libya,14.7,14,15.4
Lithuania,7.5,8.1,6.9
Luxembourg,5.4,6.8,3.9
Madagascar,5.2,5.8,4.5
Malawi,5.7,5.9,5.5
Malaysia,10.6,10.8,10.4
Maldives,10.5,10.5,10.5
Mali,6.6,7.5,5.8
Malta,7.7,8.9,6.5
Marshall Islands,20.4,20,20.7
Mauritania,8.4,8,8.8
Mauritius,12.5,12.3,12.6
Mexico,10.7,10.4,10.9
Micronesia (Federated States of),20.1,18.6,21.4
Monaco,No data,No data,No data
Mongolia,10.4,10.8,10
Montenegro,6.9,7.2,6.6
Morocco,12.3,12.5,12.1
Mozambique,5.9,6.1,5.8
Myanmar,6.9,6.3,7.4
Namibia,6.9,6.7,7.1
Nauru,29.2,30.2,28.2
Nepal,9.8,10.8,8.7
Netherlands,4.4,5.2,3.6
New Zealand,6.8,7.7,5.9
Nicaragua,9.5,8.7,10.2
Niger,5.2,5.5,4.9
Nigeria,5.8,5.8,5.7
Niue,25.3,25,25.5
Norway,5.1,6.2,4
Oman,12.5,13.1,11.6
Pakistan,11.4,11.6,11.2
Palau,22.5,24.2,20.8
Panama,8.7,8.2,9.1
Papua New Guinea,13.3,13.8,12.8
Paraguay,7.4,7.4,7.5
Peru,7.2,6.8,7.6
Philippines,6.9,6.7,7
